year,region,pathway,total_capacity_mt_yr,new_capacity_mt_yr,expansion_triggered,solver_status,npv_cost_usd_m
2025,EU,HEFA,0.2144,0.0144,True,optimal,0.001
2025,EU,Co-processing,0.375,0.375,True,optimal,0.001
2025,US,HEFA,0.25,0.0,True,optimal,0.001
2025,APAC,HEFA,0.12,0.0,True,optimal,0.001
2025,MENA,Co-processing,0.0294,0.0294,True,optimal,0.001
2025,LATAM,Co-processing,0.0247,0.0247,True,optimal,0.001
2025,ROW,Co-processing,0.02,0.02,True,optimal,0.001
2026,EU,HEFA,0.2144,0.0,True,optimal,0.001
2026,EU,Co-processing,0.5779,0.2029,True,optimal,0.001
2026,US,HEFA,0.25,0.0,True,optimal,0.001
2026,APAC,HEFA,0.12,0.0,True,optimal,0.001
2026,APAC,Co-processing,0.0274,0.0274,True,optimal,0.001
2026,MENA,Co-processing,0.0441,0.0148,True,optimal,0.001
2026,LATAM,Co-processing,0.0367,0.012,True,optimal,0.001
2026,ROW,Co-processing,0.0295,0.0095,True,optimal,0.001
2027,EU,HEFA,0.2144,0.0,True,optimal,0.001
2027,EU,Co-processing,0.8508,0.2728,True,optimal,0.001
2027,US,HEFA,0.25,0.0,True,optimal,0.001
2027,US,Co-processing,0.0742,0.0742,True,optimal,0.001
2027,APAC,HEFA,0.12,0.0,True,optimal,0.001
2027,APAC,Co-processing,0.1143,0.0869,True,optimal,0.001
2027,MENA,Co-processing,0.0682,0.024,True,optimal,0.001
2027,LATAM,Co-processing,0.0561,0.0194,True,optimal,0.001
2027,ROW,Co-processing,0.0448,0.0153,True,optimal,0.001
2028,EU,HEFA,0.2144,0.0,True,optimal,0.002
2028,EU,Co-processing,1.2177,0.3669,True,optimal,0.002
2028,US,HEFA,0.25,0.0,True,optimal,0.002
2028,US,Co-processing,0.2569,0.1827,True,optimal,0.002
2028,APAC,HEFA,0.12,0.0,True,optimal,0.002
2028,APAC,Co-processing,0.2608,0.1465,True,optimal,0.002
2028,MENA,Co-processing,0.1079,0.0398,True,optimal,0.002
2028,LATAM,Co-processing,0.088,0.0319,True,optimal,0.002
2028,ROW,Co-processing,0.0698,0.025,True,optimal,0.002
2029,EU,HEFA,0.2858,0.0714,True,optimal,0.004
2029,EU,Co-processing,1.6398,0.4221,True,optimal,0.004
2029,US,HEFA,0.25,0.0,True,optimal,0.004
2029,US,Co-processing,0.5531,0.2962,True,optimal,0.004
2029,APAC,HEFA,0.12,0.0,True,optimal,0.004
2029,APAC,Co-processing,0.5074,0.2466,True,optimal,0.004
2029,MENA,Co-processing,0.1735,0.0656,True,optimal,0.004
2029,LATAM,Co-processing,0.1401,0.0522,True,optimal,0.004
2029,ROW,Co-processing,0.1107,0.0409,True,optimal,0.004
2030,EU,HEFA,0.4251,0.1393,True,optimal,0.006
2030,EU,Co-processing,2.0746,0.4348,True,optimal,0.006
2030,EU,ATJ,0.0897,0.0897,True,optimal,0.006
2030,US,HEFA,0.25,0.0,True,optimal,0.006
2030,US,Co-processing,1.0218,0.4687,True,optimal,0.006
2030,APAC,HEFA,0.12,0.0,True,optimal,0.006
2030,APAC,Co-processing,0.9135,0.4061,True,optimal,0.006
2030,MENA,Co-processing,0.2791,0.1056,True,optimal,0.006
2030,LATAM,Co-processing,0.2235,0.0834,True,optimal,0.006
2030,ROW,Co-processing,0.1759,0.0652,True,optimal,0.006
2031,EU,HEFA,0.5686,0.1435,True,optimal,0.007
